Offense Case Type,Offense Date,Charges Description,Offense Street Name,Offense Cross Street,Case Closed,Agency,Officer Code,RACE,Defendant Gender
NT,2020-10-25,9:40:00,6th Street And,Brazos Street,ACT,APD Do Not Use,7284,Black or African American,Male
NT,2020-10-25,9:40:00,6th Street And,Brazos Street,ACT,APD Do Not Use,7284,Black or African American,Male
NT,2020-10-26,13:30:00,600 Block Red River Street,,TERM,APD Do Not Use,6145,White,Female
NT,2020-10-26,16:19:00,501 East 8th Street,,TERM,APD Do Not Use,8139,White,Male
NT,2020-10-26,22:55:00,E 6TH ST,,TERM,Other Agency,8140,Black or African American,Male
NT,2020-10-27,7:30:00,200 Block East 7th Street,,ACT,APD Do Not Use,3968,Black or African American,Male
NT,2020-10-27,10:40:00,600 Block Sabine Street,,ACT,APD Do Not Use,3968,Black or African American,Male
NT,2020-10-27,13:10:00,200 Block East 6th Street,,ACT,APD Do Not Use,3968,Asian,Female
NT,2020-10-27,15:20:00,606 Trinity Street,,ACT,APD Do Not Use,7837,Hispanic or Latino,Female
NT,2020-10-30,1:35:00,East 6th Street And,Neches Street,ACT,APD Do Not Use,8242,Black or African American,Male
NT,2020-10-30,2:33:00,401 East 6th Street,,TERM,APD Do Not Use,8674,Hispanic or Latino,Female
NT,2020-10-31,0:53:00,200 Block East 6th Street,,ACT,APD Do Not Use,7796,Black or African American,Male
NT,2020-10-31,2:13:00,600 Block San Jacinto,,ACT,APD Do Not Use,8235,White,Female
NT,2020-10-31,3:21:00,6th Street And Brazos,,IN,APD Do Not Use,4556,White,Male
NT,2020-11-01,1:00:00,400 Block East 6th Street,,TERM,APD Do Not Use,8140,Hispanic or Latino,Female
NT,2020-11-01,1:45:00,418 East 6th Street,,ACT,APD Do Not Use,8139,Black or African American,Male
NT,2020-11-01,2:00:00,400 Block East 6th Street,,TERM,APD Do Not Use,7804,White,Male
NT,2020-11-01,2:00:00,400 Block East 6th Street,,ACT,APD Do Not Use,8105,Black or African American,Male
NT,2020-11-01,2:15:00,500 Block East 6th Street,,ACT,APD Do Not Use,7884,Black or African American,Female
NT,2020-11-01,2:29:00,400 Block East 6th Street,,ACT,APD Do Not Use,8769,Black or African American,Male
NT,2020-11-01,21:34:00,East 6th Street,Trinity Street,ACT,APD Do Not Use,7245,White,Female
